package_name,errata_id,severity,errata_type
"firefox-102.8.0-2.el8_7","RHSA-2023:0808","Important","security"
"tigervnc-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-icons-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-license-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-selinux-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-server-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-server-minimal-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"tigervnc-server-module-1.12.0-9.el8_7.1","RHSA-2023:0662","Important","security"
"git-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-all-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-core-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-core-doc-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-credential-libsecret-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-daemon-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-email-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-gui-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-instaweb-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"gitk-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-subtree-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"git-svn-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"gitweb-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"perl-Git-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"perl-Git-SVN-2.31.1-3.el8_7","RHSA-2023:0610","Important","security"
"libXpm-3.5.12-9.el8_7","RHSA-2023:0379","Important","security"
"libXpm-devel-3.5.12-9.el8_7","RHSA-2023:0379","Important","security"
"sudo-1.8.29-8.el8_7.1","RHSA-2023:0284","Important","security"
"libxml2-2.9.7-15.el8_7.1","RHSA-2023:0173","Moderate","security"
"libxml2-devel-2.9.7-15.el8_7.1","RHSA-2023:0173","Moderate","security"
"python3-libxml2-2.9.7-15.el8_7.1","RHSA-2023:0173","Moderate","security"
"libtiff-4.0.9-26.el8_7","RHSA-2023:0095","Moderate","security"
"libtiff-devel-4.0.9-26.el8_7","RHSA-2023:0095","Moderate","security"
"expat-2.2.5-10.el8_7.1","RHSA-2023:0103","Moderate","security"
"expat-devel-2.2.5-10.el8_7.1","RHSA-2023:0103","Moderate","security"
"libtasn1-4.13-4.el8_7","RHSA-2023:0116","Moderate","security"
"libtasn1-devel-4.13-4.el8_7","RHSA-2023:0116","Moderate","security"
"libtasn1-tools-4.13-4.el8_7","RHSA-2023:0116","Moderate","security"
"systemd-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-container-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-devel-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-journal-remote-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-libs-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-pam-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-tests-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"systemd-udev-239-68.el8_7.1","RHSA-2023:0100","Moderate","security"
"dbus-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-common-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-daemon-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-devel-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-libs-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-tools-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"dbus-x11-1.12.8-23.el8_7.1","RHSA-2023:0096","Moderate","security"
"lemon-3.26.0-17.el8_7","RHSA-2023:0110","Moderate","security"
"sqlite-3.26.0-17.el8_7","RHSA-2023:0110","Moderate","security"
"sqlite-devel-3.26.0-17.el8_7","RHSA-2023:0110","Moderate","security"
"sqlite-doc-3.26.0-17.el8_7","RHSA-2023:0110","Moderate","security"
"sqlite-libs-3.26.0-17.el8_7","RHSA-2023:0110","Moderate","security"
"bpftool-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-abi-stablelists-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-core-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-cross-headers-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-debug-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-debug-core-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-debug-devel-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-debug-modules-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-debug-modules-extra-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-devel-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-doc-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-headers-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-modules-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-modules-extra-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-tools-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"kernel-tools-libs-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"perf-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"python3-perf-4.18.0-425.10.1.el8_7","RHSA-2023:0101","Important","security"
"grub2-common-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-aa64-modules-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-ia32-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-ia32-cdboot-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-ia32-modules-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-x64-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-x64-cdboot-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-efi-x64-modules-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-pc-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-pc-modules-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-ppc64le-modules-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-tools-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-tools-efi-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-tools-extra-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"grub2-tools-minimal-2.02-142.el8_7.1","RHSA-2023:0049","Moderate","security"
"webkit2gtk3-2.36.7-1.el8_7.1","RHSA-2023:0016","Important","security"
"webkit2gtk3-devel-2.36.7-1.el8_7.1","RHSA-2023:0016","Important","security"
"webkit2gtk3-jsc-2.36.7-1.el8_7.1","RHSA-2023:0016","Important","security"
"webkit2gtk3-jsc-devel-2.36.7-1.el8_7.1","RHSA-2023:0016","Important","security"
"telnet-0.17-73.el8_1.1","RHSA-2020:1318","Important","security"
"telnet-server-0.17-73.el8_1.1","RHSA-2020:1318","Important","security"
