package_name,arch,package_id,errata_id,severity,errata_type
firefox-102.8.0-2.el8_7,x86_64,113008,RHSA-2023:0808,Important,security
tigervnc-1.12.0-9.el8_7.1,x86_64,112279,RHSA-2023:0662,Important,security
tigervnc-icons-1.12.0-9.el8_7.1,noarch,112302,RHSA-2023:0662,Important,security
tigervnc-license-1.12.0-9.el8_7.1,noarch,112297,RHSA-2023:0662,Important,security
tigervnc-selinux-1.12.0-9.el8_7.1,noarch,112293,RHSA-2023:0662,Important,security
tigervnc-server-1.12.0-9.el8_7.1,x86_64,112283,RHSA-2023:0662,Important,security
tigervnc-server-minimal-1.12.0-9.el8_7.1,x86_64,112290,RHSA-2023:0662,Important,security
tigervnc-server-module-1.12.0-9.el8_7.1,x86_64,112286,RHSA-2023:0662,Important,security
git-2.31.1-3.el8_7,x86_64,112922,RHSA-2023:0610,Important,security
git-2.31.1-3.el8_7,noarch,112411,RHSA-2023:0610,Important,security
git-all-2.31.1-3.el8_7,noarch,112945,RHSA-2023:0610,Important,security
git-core-2.31.1-3.el8_7,x86_64,112940,RHSA-2023:0610,Important,security
git-core-doc-2.31.1-3.el8_7,noarch,112943,RHSA-2023:0610,Important,security
git-credential-libsecret-2.31.1-3.el8_7,x86_64,112938,RHSA-2023:0610,Important,security
git-daemon-2.31.1-3.el8_7,x86_64,112936,RHSA-2023:0610,Important,security
git-email-2.31.1-3.el8_7,noarch,112933,RHSA-2023:0610,Important,security
git-gui-2.31.1-3.el8_7,noarch,112931,RHSA-2023:0610,Important,security
git-instaweb-2.31.1-3.el8_7,noarch,112928,RHSA-2023:0610,Important,security
gitk-2.31.1-3.el8_7,noarch,112920,RHSA-2023:0610,Important,security
git-subtree-2.31.1-3.el8_7,x86_64,112926,RHSA-2023:0610,Important,security
git-svn-2.31.1-3.el8_7,noarch,112925,RHSA-2023:0610,Important,security
git-svn-2.31.1-3.el8_7,noarch,112414,RHSA-2023:0610,Important,security
gitweb-2.31.1-3.el8_7,noarch,112918,RHSA-2023:0610,Important,security
perl-Git-2.31.1-3.el8_7,noarch,112411,RHSA-2023:0610,Important,security
perl-Git-SVN-2.31.1-3.el8_7,noarch,112414,RHSA-2023:0610,Important,security
libXpm-3.5.12-9.el8_7,i686,112793,RHSA-2023:0379,Important,security
libXpm-3.5.12-9.el8_7,x86_64,112790,RHSA-2023:0379,Important,security
libXpm-devel-3.5.12-9.el8_7,i686,112798,RHSA-2023:0379,Important,security
libXpm-devel-3.5.12-9.el8_7,x86_64,112795,RHSA-2023:0379,Important,security
sudo-1.8.29-8.el8_7.1,x86_64,109135,RHSA-2023:0284,Important,security
libxml2-2.9.7-15.el8_7.1,i686,109187,RHSA-2023:0173,Moderate,security
libxml2-2.9.7-15.el8_7.1,x86_64,109186,RHSA-2023:0173,Moderate,security
libxml2-2.9.7-15.el8_7.1,x86_64,109174,RHSA-2023:0173,Moderate,security
libxml2-devel-2.9.7-15.el8_7.1,i686,112449,RHSA-2023:0173,Moderate,security
libxml2-devel-2.9.7-15.el8_7.1,x86_64,112447,RHSA-2023:0173,Moderate,security
python3-libxml2-2.9.7-15.el8_7.1,x86_64,109174,RHSA-2023:0173,Moderate,security
libtiff-4.0.9-26.el8_7,i686,112509,RHSA-2023:0095,Moderate,security
libtiff-4.0.9-26.el8_7,x86_64,112506,RHSA-2023:0095,Moderate,security
libtiff-devel-4.0.9-26.el8_7,i686,112513,RHSA-2023:0095,Moderate,security
libtiff-devel-4.0.9-26.el8_7,x86_64,112511,RHSA-2023:0095,Moderate,security
expat-2.2.5-10.el8_7.1,i686,109406,RHSA-2023:0103,Moderate,security
expat-2.2.5-10.el8_7.1,x86_64,109404,RHSA-2023:0103,Moderate,security
expat-devel-2.2.5-10.el8_7.1,i686,109410,RHSA-2023:0103,Moderate,security
expat-devel-2.2.5-10.el8_7.1,x86_64,109408,RHSA-2023:0103,Moderate,security
libtasn1-4.13-4.el8_7,i686,109209,RHSA-2023:0116,Moderate,security
libtasn1-4.13-4.el8_7,x86_64,109202,RHSA-2023:0116,Moderate,security
libtasn1-devel-4.13-4.el8_7,i686,113249,RHSA-2023:0116,Moderate,security
libtasn1-devel-4.13-4.el8_7,x86_64,112517,RHSA-2023:0116,Moderate,security
libtasn1-tools-4.13-4.el8_7,x86_64,112515,RHSA-2023:0116,Moderate,security
systemd-239-68.el8_7.1,i686,109114,RHSA-2023:0100,Moderate,security
systemd-239-68.el8_7.1,x86_64,109113,RHSA-2023:0100,Moderate,security
systemd-container-239-68.el8_7.1,i686,109134,RHSA-2023:0100,Moderate,security
systemd-container-239-68.el8_7.1,x86_64,109133,RHSA-2023:0100,Moderate,security
systemd-devel-239-68.el8_7.1,i686,109130,RHSA-2023:0100,Moderate,security
systemd-devel-239-68.el8_7.1,x86_64,109129,RHSA-2023:0100,Moderate,security
systemd-journal-remote-239-68.el8_7.1,x86_64,109126,RHSA-2023:0100,Moderate,security
systemd-libs-239-68.el8_7.1,i686,109124,RHSA-2023:0100,Moderate,security
systemd-libs-239-68.el8_7.1,x86_64,109123,RHSA-2023:0100,Moderate,security
systemd-pam-239-68.el8_7.1,x86_64,109120,RHSA-2023:0100,Moderate,security
systemd-tests-239-68.el8_7.1,x86_64,109118,RHSA-2023:0100,Moderate,security
systemd-udev-239-68.el8_7.1,x86_64,109116,RHSA-2023:0100,Moderate,security
dbus-1.12.8-23.el8_7.1,x86_64,109453,RHSA-2023:0096,Moderate,security
dbus-common-1.12.8-23.el8_7.1,noarch,109463,RHSA-2023:0096,Moderate,security
dbus-daemon-1.12.8-23.el8_7.1,x86_64,109460,RHSA-2023:0096,Moderate,security
dbus-devel-1.12.8-23.el8_7.1,i686,113055,RHSA-2023:0096,Moderate,security
dbus-devel-1.12.8-23.el8_7.1,x86_64,113053,RHSA-2023:0096,Moderate,security
dbus-libs-1.12.8-23.el8_7.1,i686,109458,RHSA-2023:0096,Moderate,security
dbus-libs-1.12.8-23.el8_7.1,x86_64,109457,RHSA-2023:0096,Moderate,security
dbus-tools-1.12.8-23.el8_7.1,x86_64,109455,RHSA-2023:0096,Moderate,security
dbus-x11-1.12.8-23.el8_7.1,x86_64,113051,RHSA-2023:0096,Moderate,security
lemon-3.26.0-17.el8_7,x86_64,112800,RHSA-2023:0110,Moderate,security
sqlite-3.26.0-17.el8_7,i686,109154,RHSA-2023:0110,Moderate,security
sqlite-3.26.0-17.el8_7,x86_64,109153,RHSA-2023:0110,Moderate,security
sqlite-devel-3.26.0-17.el8_7,i686,109159,RHSA-2023:0110,Moderate,security
sqlite-devel-3.26.0-17.el8_7,x86_64,109158,RHSA-2023:0110,Moderate,security
sqlite-doc-3.26.0-17.el8_7,noarch,109157,RHSA-2023:0110,Moderate,security
sqlite-libs-3.26.0-17.el8_7,i686,109156,RHSA-2023:0110,Moderate,security
sqlite-libs-3.26.0-17.el8_7,x86_64,109155,RHSA-2023:0110,Moderate,security
bpftool-4.18.0-425.10.1.el8_7,x86_64,109466,RHSA-2023:0101,Important,security
kernel-4.18.0-425.10.1.el8_7,x86_64,109356,RHSA-2023:0101,Important,security
kernel-abi-stablelists-4.18.0-425.10.1.el8_7,noarch,109375,RHSA-2023:0101,Important,security
kernel-core-4.18.0-425.10.1.el8_7,x86_64,109374,RHSA-2023:0101,Important,security
kernel-cross-headers-4.18.0-425.10.1.el8_7,x86_64,109372,RHSA-2023:0101,Important,security
kernel-debug-4.18.0-425.10.1.el8_7,x86_64,109367,RHSA-2023:0101,Important,security
kernel-debug-core-4.18.0-425.10.1.el8_7,x86_64,109371,RHSA-2023:0101,Important,security
kernel-debug-devel-4.18.0-425.10.1.el8_7,x86_64,109370,RHSA-2023:0101,Important,security
