package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
firefox-102.8.0-2.el8_7,x86_64,113008,"CVE-2023-0767, CVE-2023-25728, CVE-2023-25729, CVE-2023-25730, CVE-2023-25732, CVE-2023-25735, CVE-2023-25737, CVE-2023-25739, CVE-2023-25742, CVE-2023-25743, CVE-2023-25744, CVE-2023-25746",RHSA-2023:0808,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-1.12.0-9.el8_7.1,x86_64,112279,CVE-2023-0494,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-icons-1.12.0-9.el8_7.1,noarch,112302,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-license-1.12.0-9.el8_7.1,noarch,112297,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-selinux-1.12.0-9.el8_7.1,noarch,112293,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-server-1.12.0-9.el8_7.1,x86_64,112283,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-server-minimal-1.12.0-9.el8_7.1,x86_64,112290,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
tigervnc-server-module-1.12.0-9.el8_7.1,x86_64,112286,,RHSA-2023:0662,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
git-2.31.1-3.el8_7,x86_64,112922,"CVE-2022-23521, CVE-2022-41903",RHSA-2023:0610,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
git-2.31.1-3.el8_7,noarch,112411,"CVE-2022-23521, CVE-2022-41903",RHSA-2023:0610,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
